it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
750200,0.5379,0.5379,-7.3026,-6.7960,0.0166,0.0113,0.8591,0.0149,0.0172,0.7208,10.00,0.200,0.570,0.680,0.0486,0.0550,0.0073,0.00220,0.00171,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00220,0.00122
750400,0.5379,0.5379,-7.3026,-6.7960,0.0120,0.0102,0.8765,0.0180,0.0138,0.5888,10.00,0.200,0.570,0.680,0.0446,0.0413,0.0093,0.00146,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00269,0.00220
750600,0.5379,0.5379,-6.8518,-6.8679,0.0097,0.0154,0.8618,0.0170,0.0179,0.5334,10.00,0.200,0.570,0.680,0.0548,0.0407,0.0073,0.00195,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00146
750800,0.5379,0.5379,-6.8518,-6.8679,0.0143,0.0196,0.8203,0.0158,0.0184,0.6646,10.00,0.200,0.570,0.680,0.0516,0.0434,0.0073,0.00195,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00146
751000,0.5379,0.5379,-6.8518,-6.8679,0.0141,0.0179,0.6999,0.0156,0.0160,0.5966,10.00,0.200,0.570,0.680,0.0464,0.0471,0.0068,0.00073,0.00244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00195
751200,0.5379,0.5379,-7.1057,-6.8581,0.0127,0.0187,0.8522,0.0144,0.0147,0.6822,10.00,0.200,0.570,0.680,0.0333,0.0407,0.0115,0.00269,0.00366,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00342,0.00171
751400,0.5379,0.5379,-7.1057,-6.8581,0.0169,0.0173,0.7472,0.0091,0.0126,0.7586,10.00,0.200,0.570,0.680,0.0364,0.0483,0.0098,0.00269,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00269,0.00146
751600,0.5379,0.5379,-7.0020,-6.8265,0.0135,0.0164,0.8666,0.0156,0.0138,0.6804,10.00,0.200,0.570,0.680,0.0525,0.0402,0.0083,0.00146,0.00366,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00220
751800,0.5379,0.5379,-7.0020,-6.8265,0.0146,0.0033,0.4335,0.0179,0.0064,0.3801,10.00,0.200,0.570,0.680,-0.0666,-0.0639,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
752000,0.5379,0.5379,-7.0020,-6.8265,0.0123,0.0103,0.7964,0.0144,0.0153,0.9595,10.00,0.200,0.570,0.680,0.0354,0.0321,0.0115,0.00317,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00342
752200,0.5379,0.5379,-6.8352,-6.9130,0.0112,0.0132,0.7732,0.0123,0.0138,0.7981,10.00,0.200,0.570,0.680,0.0446,0.0369,0.0090,0.00269,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00244
752400,0.5379,0.5379,-6.8352,-6.9130,0.0112,0.0095,0.7881,0.0175,0.0142,0.7878,10.00,0.200,0.570,0.680,0.0317,0.0262,0.0139,0.00415,0.00537,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00293
752600,0.5379,0.5379,-6.8942,-6.7803,0.0140,0.0106,0.7250,0.0187,0.0159,0.6226,10.00,0.200,0.570,0.680,0.0432,0.0330,0.0095,0.00195,0.00464,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00171
752800,0.5379,0.5379,-6.8942,-6.7803,0.0161,0.0126,0.8620,0.0194,0.0161,0.7490,10.00,0.200,0.570,0.680,0.0439,0.0364,0.0081,0.00122,0.00366,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00220
753000,0.5379,0.5379,-6.8942,-6.7803,0.0097,0.0106,0.8628,0.0185,0.0220,0.6112,10.00,0.200,0.570,0.680,0.0292,0.0396,0.0100,0.00317,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00171
753200,0.5379,0.5379,-6.9354,-6.7596,0.0165,0.0100,0.9009,0.0157,0.0197,0.5655,10.00,0.200,0.570,0.680,0.0437,0.0411,0.0098,0.00244,0.00269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00269
753400,0.5379,0.5379,-6.9354,-6.7596,0.0224,0.0177,0.7887,0.0203,0.0134,0.6907,10.00,0.200,0.570,0.680,0.0355,0.0488,0.0085,0.00244,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00220,0.00073
753600,0.5379,0.5379,-6.8144,-6.7822,0.0129,0.0034,0.5391,0.0156,0.0137,0.3677,10.00,0.200,0.570,0.680,-0.0282,-0.0290,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
753800,0.5379,0.5379,-6.8144,-6.7822,0.0114,0.0150,0.8518,0.0152,0.0149,0.7035,10.00,0.200,0.570,0.680,0.0358,0.0088,0.0122,0.00342,0.00366,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00317
