it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
817200,0.5379,0.5379,-7.1541,-6.8614,0.0159,0.0184,0.7430,0.0153,0.0158,0.9205,10.00,0.200,0.690,0.800,0.0453,0.0423,0.0125,0.00342,0.00464,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00244
817400,0.5379,0.5379,-7.1541,-6.8614,0.0122,0.0139,0.7675,0.0186,0.0175,0.6540,10.00,0.200,0.690,0.800,0.0562,0.0594,0.0088,0.00244,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00171
817600,0.5379,0.5379,-7.0475,-6.7589,0.0181,0.0108,1.0255,0.0198,0.0191,0.7932,10.00,0.200,0.690,0.800,0.0510,0.0536,0.0095,0.00293,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00220
817800,0.5379,0.5379,-7.0475,-6.7589,0.0184,0.0169,0.8222,0.0128,0.0109,0.8936,10.00,0.200,0.690,0.800,0.0363,0.0523,0.0115,0.00269,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00317,0.00244
818000,0.5379,0.5379,-7.0475,-6.7589,0.0094,0.0187,0.7332,0.0110,0.0145,0.7646,10.00,0.200,0.690,0.800,0.0517,0.0411,0.0110,0.00293,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00391
818200,0.5379,0.5379,-7.0089,-6.9042,0.0179,0.0091,0.7892,0.0123,0.0199,1.0180,10.00,0.200,0.690,0.800,0.0511,0.0499,0.0100,0.00366,0.00464,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00146
818400,0.5379,0.5379,-7.0089,-6.9042,0.0155,0.0128,0.8702,0.0140,0.0258,0.7118,10.00,0.200,0.690,0.800,0.0564,0.0440,0.0090,0.00317,0.00342,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00220
818600,0.5379,0.5379,-6.9972,-6.7387,0.0136,0.0157,0.7980,0.0135,0.0118,0.8363,10.00,0.200,0.690,0.800,0.0503,0.0478,0.0107,0.00317,0.00391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00244
818800,0.5379,0.5379,-6.9972,-6.7387,0.0104,0.0168,0.8596,0.0171,0.0116,0.8518,10.00,0.200,0.690,0.800,0.0506,0.0519,0.0103,0.00415,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00220
819000,0.5379,0.5379,-6.9972,-6.7387,0.0195,0.0186,0.7181,0.0118,0.0110,0.7947,10.00,0.200,0.690,0.800,0.0558,0.0156,0.0107,0.00195,0.00586,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00171
819200,0.5379,0.5379,-7.0161,-6.9121,0.0174,0.0119,0.7746,0.0163,0.0149,0.7141,10.00,0.200,0.690,0.800,0.0614,0.0575,0.0078,0.00171,0.00269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00220
819400,0.5379,0.5379,-7.0161,-6.9121,0.0196,0.0058,0.8745,0.0222,0.0112,0.5855,10.00,0.200,0.690,0.800,0.0534,0.0332,0.0112,0.00293,0.00391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00317
819600,0.5379,0.5379,-7.0535,-6.7991,0.0123,0.0155,0.9361,0.0104,0.0131,0.8176,10.00,0.200,0.690,0.800,0.0534,0.0553,0.0083,0.00293,0.00293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00171
819800,0.5379,0.5379,-7.0535,-6.7991,0.0309,0.0096,0.6964,0.0125,0.0163,0.9075,10.00,0.200,0.690,0.800,0.0628,0.0307,0.0115,0.00195,0.00464,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00415
